ascii code:  96, frequency: 0.0000000, huffman code: 100000101110010000000011010101000
ascii code:  97, frequency: 0.0623528, huffman code: 1101
ascii code:  98, frequency: 0.0102536, huffman code: 1000110
ascii code:  99, frequency: 0.0266039, huffman code: 01110
ascii code: 100, frequency: 0.0295136, huffman code: 01001
ascii code: 101, frequency: 0.0990716, huffman code: 001
ascii code: 102, frequency: 0.0115006, huffman code: 1000010
ascii code: 103, frequency: 0.0112235, huffman code: 1000111
ascii code: 104, frequency: 0.0224470, huffman code: 100010
ascii code: 105, frequency: 0.0656783, huffman code: 1110
ascii code: 106, frequency: 0.0004157, huffman code: 10010000101
ascii code: 107, frequency: 0.0031869, huffman code: 100001100
ascii code: 108, frequency: 0.0328391, huffman code: 11000
ascii code: 109, frequency: 0.0297908, huffman code: 11001
ascii code: 110, frequency: 0.0486352, huffman code: 0001
ascii code: 111, frequency: 0.0595815, huffman code: 0101
ascii code: 112, frequency: 0.0253568, huffman code: 01111
ascii code: 113, frequency: 0.0072052, huffman code: 0100011
ascii code: 114, frequency: 0.0473881, huffman code: 0000
ascii code: 115, frequency: 0.0551476, huffman code: 0110
ascii code: 116, frequency: 0.0662325, huffman code: 1111
ascii code: 117, frequency: 0.0417071, huffman code: 10011
ascii code: 118, frequency: 0.0073438, huffman code: 0100001
ascii code: 119, frequency: 0.0088680, huffman code: 1001001
ascii code: 120, frequency: 0.0051268, huffman code: 10010100
ascii code: 121, frequency: 0.0074823, huffman code: 0100000
ascii code: 122, frequency: 0.0004157, huffman code: 100000101100
ascii code: 123, frequency: 0.0000000, huffman code: 1000001011100100000000110101010011100010
ascii code: 124, frequency: 0.0000000, huffman code: 1000001011100100000000110101010011100000
ascii code: 125, frequency: 0.0000000, huffman code: 10000010111001000000001101010101000111010
ascii code: 126, frequency: 0.0000000, huffman code: 10000010111001000000001101010101000111011
ascii code: 127, frequency: 0.0000000, huffman code: 1000001011100110
